cylinder_ID,cylinder_mass,rep,water_mass,water_temp_c,comments
1,2002.5,1,942.5,21.0,data recorded 2021-08-28
1,2002.5,2,943.5,21.0,data recorded 2021-08-28
1,2002.5,3,940.0,21.0,data recorded 2021-08-28
1,2002.5,4,939.5,21.0,data recorded 2021-08-28
1,2002.5,5,940.5,21.0,data recorded 2021-08-28
2,2003.0,1,937.0,21.0,data recorded 2021-08-28
2,2003.0,2,937.0,21.0,data recorded 2021-08-28
2,2003.0,3,936.0,21.0,data recorded 2021-08-28
2,2003.0,4,939.0,21.0,data recorded 2021-08-28
2,2003.0,5,938.0,21.0,data recorded 2021-08-28
3,1484.5,1,932.5,21.9,data recorded 2019-10-19
3,1484.5,2,934.5,21.9,data recorded 2019-10-19
3,1484.5,3,931.0,21.9,data recorded 2019-10-19
3,1484.5,4,-,21.9,data recorded 2019-10-19
3,1484.5,5,-,21.9,data recorded 2019-10-19
