perc_cylinder_set,cylinder_ID,ht_cm,empty_cyl_mass,diameter_cm,area_cm2
2020-06-20,1,10.129999999999999,105.28,5.203666666666667,21.2671267474732
2020-06-20,2,10.28,107.45,5.182333333333333,21.09310764720555
2020-06-20,3,10.25,107.4,5.176,21.04158334602512
2020-06-20,4,10.205,106.69,5.162000000000001,20.92791109904028
2020-06-20,5,10.24,106.93,5.146333333333333,20.80107147731315
2020-06-20,6,10.22,106.75,5.166333333333333,20.96306246650775
2020-06-20,7,-,103.74,5.17,20.99282896963405
2020-06-20,8,-,104.12,5.182666666666667,21.09582119786009
2020-06-20,9,-,103.03,5.201,21.2453352645645
2020-06-20,10,10.165000000000001,103.67,5.191666666666666,21.16915303897834
2020-06-20,11,10.190000000000001,104.23,5.179666666666667,21.07140552515456
2020-06-20,12,10.17,104.83,5.177666666666667,21.05513626399917
2020-06-20,13,10.179,105.06,5.181,21.08225518991665
2020-06-20,14,10.2,104.91,5.184333333333333,21.10939156912666
2020-06-20,15,10.18,103.74,5.19,21.15556346909001
2020-06-20,16,-,103.82,5.191,21.16371668742423
2020-06-20,17,-,104.87,5.18,21.07411767954569
2020-06-20,18,-,104.82,5.184,21.1066771458075
2020-06-20,19,10.184999999999999,105.03,5.183999999999999,21.106677145807492
2020-06-20,20,10.187000000000001,105.04,5.202666666666667,21.25895363238551
2020-06-20,21,10.193000000000001,104.86,5.183666666666666,21.10396289702126
2020-06-20,22,10.2,104.34,5.191,21.16371668742423
2020-06-20,23,10.186,104.42,5.171333333333333,21.00365838857683
2020-06-20,24,10.190999999999999,105.12,5.182,21.09039427108394
2020-06-20,25,10.163,103.65,5.128333333333333,20.65581679938177
2020-06-20,26,10.176,106.16,5.160666666666667,20.91710122778513
2020-06-20,27,10.428,105.53,5.198,21.22083319806099
2020-06-20,28,10.11,101.82,5.133666666666667,20.69880216446329
2020-06-20,29,10.171,102.81,5.205333333333334,21.28075209661121
2020-06-20,30,10.34,107.75,5.203666666666667,21.2671267474732
2020-06-20,31,10.028,100.69,-,-
2020-06-20,32,10.03,100.5,-,-
2020-06-20,33,10.2,103.06,-,-
2020-06-20,34,10.03,101.4,-,-
2020-06-20,35,10.115,102.17,-,-
2020-06-20,36,10.048,100.51,-,-
