tin_tare_set,tin_number,tin_tare
2021-09-10,1,23.308
2021-09-10,2,23.363
2021-09-10,3,23.4
2021-09-10,4,23.333
2021-09-10,5,23.426
2021-09-10,6,23.199
2021-09-10,7,23.229
2021-09-10,8,23.385
2021-09-10,9,23.444
2021-09-10,10,23.239
2021-09-10,11,23.271
2021-09-10,12,23.256
2021-09-10,13,23.262
2021-09-10,14,23.332
2021-09-10,15,23.286
2021-09-10,16,23.357
2021-09-10,17,23.539
2021-09-10,18,23.361
2021-09-10,19,23.248
2021-09-10,20,23.187
2021-09-10,21,23.402
2021-09-10,22,21.578
2021-09-10,23,21.891
2021-09-10,24,21.334
2021-09-10,25,21.583
2021-09-10,26,23.397
2021-09-10,27,23.434
2021-09-10,28,23.254
2021-09-10,29,23.246
2021-09-10,30,23.34
2021-09-10,31,23.316
2021-09-10,32,23.26
2021-09-10,33,23.423
2021-09-10,34,23.263
2021-09-10,35,23.164
2021-09-10,36,21.398
2021-09-10,37,21.432
2021-09-10,38,21.643
2021-09-10,39,21.775
2021-09-10,40,21.764
2021-09-10,41,21.444
2021-09-10,42,21.342
