bottle_set,bottle_number,replication,bottle_empty_mass,water_filled_mass,water_temp_c
2019-08-29,1,1,37.558,137.219,22.1
2019-08-29,1,2,37.558,137.22,22.1
2019-08-29,1,3,37.558,137.219,22.1
2019-08-29,1,4,37.558,137.224,21.9
2019-08-29,1,5,37.558,137.221,21.9
2019-08-29,2,1,36.505,136.076,21.9
2019-08-29,2,2,36.505,136.074,21.9
2019-08-29,2,3,36.505,136.068,21.9
2019-08-29,2,4,36.505,136.066,22.1
2019-08-29,2,5,36.505,136.067,22.2
2019-08-29,3,1,33.941,133.647,21.8
2019-08-29,3,2,33.941,133.622,23.1
2019-08-29,3,3,33.941,133.642,22.4
2019-08-29,3,4,33.941,133.647,21.9
2019-08-29,3,5,33.941,133.642,22.2
2019-08-29,4,1,39.214,138.957,21.8
2019-08-29,4,2,39.214,138.954,22.6
2019-08-29,4,3,39.214,138.962,22.2
2019-08-29,4,4,39.214,138.958,22.3
2019-08-29,4,5,39.214,138.955,22.2
